"Step","bench_unaware_B_s1 - energy","bench_unaware_B_s1 - energy__MIN","bench_unaware_B_s1 - energy__MAX","bench_unaware_A_s1 - energy","bench_unaware_A_s1 - energy__MIN","bench_unaware_A_s1 - energy__MAX","bench_unaware_A_s0 - energy","bench_unaware_A_s0 - energy__MIN","bench_unaware_A_s0 - energy__MAX","bench_aware_A_s2 - energy","bench_aware_A_s2 - energy__MIN","bench_aware_A_s2 - energy__MAX","bench_aware_A_s1 - energy","bench_aware_A_s1 - energy__MIN","bench_aware_A_s1 - energy__MAX","bench_aware_A_s0 - energy","bench_aware_A_s0 - energy__MIN","bench_aware_A_s0 - energy__MAX"
"38","-167.70646953409096","-167.70646953409096","-167.70646953409096","-167.24657587863211","-167.24657587863211","-167.24657587863211","-168.50391433540608","-168.50391433540608","-168.50391433540608","-172.21628507866092","-172.21628507866092","-172.21628507866092","-172.16968828541445","-172.16968828541445","-172.16968828541445","-172.16358121692397","-172.16358121692397","-172.16358121692397"
"39","-168.19353644201175","-168.19353644201175","-168.19353644201175","-167.93096317346684","-167.93096317346684","-167.93096317346684","-168.8983833337023","-168.8983833337023","-168.8983833337023","-172.42208921613542","-172.42208921613542","-172.42208921613542","-172.32849229962468","-172.32849229962468","-172.32849229962468","-172.32254890230794","-172.32254890230794","-172.32254890230794"
"40","-168.63096912060803","-168.63096912060803","-168.63096912060803","-168.28620758853373","-168.28620758853373","-168.28620758853373","-169.07818207784334","-169.07818207784334","-169.07818207784334","-172.5919551086094","-172.5919551086094","-172.5919551086094","-172.3444365680261","-172.3444365680261","-172.3444365680261","-172.3281524421726","-172.3281524421726","-172.3281524421726"
"41","-168.94655927477518","-168.94655927477518","-168.94655927477518","-168.7115039050671","-168.7115039050671","-168.7115039050671","-169.44747596399998","-169.44747596399998","-169.44747596399998","-172.72833585769484","-172.72833585769484","-172.72833585769484","-172.5444147436561","-172.5444147436561","-172.5444147436561","-172.45655638617285","-172.45655638617285","-172.45655638617285"
"42","-169.40101370918345","-169.40101370918345","-169.40101370918345","-169.10074808117895","-169.10074808117895","-169.10074808117895","-169.74133339626263","-169.74133339626263","-169.74133339626263","-172.8260959509538","-172.8260959509538","-172.8260959509538","-172.66645219846345","-172.66645219846345","-172.66645219846345","-172.59182616665657","-172.59182616665657","-172.59182616665657"
"43","-169.5694774126697","-169.5694774126697","-169.5694774126697","-169.3595713002539","-169.3595713002539","-169.3595713002539","-169.9852909743095","-169.9852909743095","-169.9852909743095","-172.88989741942422","-172.88989741942422","-172.88989741942422","-172.80354739839646","-172.80354739839646","-172.80354739839646","-172.7105474084355","-172.7105474084355","-172.7105474084355"
"44","-169.77350466371564","-169.77350466371564","-169.77350466371564","-169.64413795587248","-169.64413795587248","-169.64413795587248","-170.0845054745314","-170.0845054745314","-170.0845054745314","-172.97816781320614","-172.97816781320614","-172.97816781320614","-172.86396961696317","-172.86396961696317","-172.86396961696317","-172.76805149162982","-172.76805149162982","-172.76805149162982"
"45","-170.022219571519","-170.022219571519","-170.022219571519","-169.79398406439412","-169.79398406439412","-169.79398406439412","-170.31874797913716","-170.31874797913716","-170.31874797913716","-173.06451012155594","-173.06451012155594","-173.06451012155594","-172.8761559261431","-172.8761559261431","-172.8761559261431","-172.86240886848228","-172.86240886848228","-172.86240886848228"
"46","-170.09136962386268","-170.09136962386268","-170.09136962386268","-170.11309478234858","-170.11309478234858","-170.11309478234858","-170.44395845539535","-170.44395845539535","-170.44395845539535","-173.10191087234836","-173.10191087234836","-173.10191087234836","-172.9771488828838","-172.9771488828838","-172.9771488828838","-172.92462695056255","-172.92462695056255","-172.92462695056255"
"47","-170.37148497247793","-170.37148497247793","-170.37148497247793","-170.33286689555192","-170.33286689555192","-170.33286689555192","-170.5513685811141","-170.5513685811141","-170.5513685811141","-173.17954585023062","-173.17954585023062","-173.17954585023062","-173.10650973108454","-173.10650973108454","-173.10650973108454","-172.92298906972962","-172.92298906972962","-172.92298906972962"
"48","-170.60673171655498","-170.60673171655498","-170.60673171655498","-170.5805299988733","-170.5805299988733","-170.5805299988733","-170.79718372311123","-170.79718372311123","-170.79718372311123","-173.29873058658285","-173.29873058658285","-173.29873058658285","-173.1350509835711","-173.1350509835711","-173.1350509835711","-173.01930442434337","-173.01930442434337","-173.01930442434337"
"49","-170.6949067845901","-170.6949067845901","-170.6949067845901","-170.65638323422993","-170.65638323422993","-170.65638323422993","-170.8736943611632","-170.8736943611632","-170.8736943611632","-173.37351512231473","-173.37351512231473","-173.37351512231473","-173.2345698909787","-173.2345698909787","-173.2345698909787","-173.08112358757245","-173.08112358757245","-173.08112358757245"
"50","-170.7327157190864","-170.7327157190864","-170.7327157190864","-170.7352640646894","-170.7352640646894","-170.7352640646894","-171.06040408687886","-171.06040408687886","-171.06040408687886","-173.43797967813364","-173.43797967813364","-173.43797967813364","-173.30387795263323","-173.30387795263323","-173.30387795263323","-173.23637179600058","-173.23637179600058","-173.23637179600058"
"51","-170.87678621540852","-170.87678621540852","-170.87678621540852","-170.9558313421159","-170.9558313421159","-170.9558313421159","-171.14058955923187","-171.14058955923187","-171.14058955923187","-173.48292607287016","-173.48292607287016","-173.48292607287016","-173.37141678738766","-173.37141678738766","-173.37141678738766","-173.26107394522109","-173.26107394522109","-173.26107394522109"
"52","-171.06171935242327","-171.06171935242327","-171.06171935242327","-171.12737979500596","-171.12737979500596","-171.12737979500596","-171.20484214431048","-171.20484214431048","-171.20484214431048","-173.50626940436157","-173.50626940436157","-173.50626940436157","-173.4074097340278","-173.4074097340278","-173.4074097340278","-173.3123670988976","-173.3123670988976","-173.3123670988976"
"53","-171.08198874852837","-171.08198874852837","-171.08198874852837","-171.13774531791168","-171.13774531791168","-171.13774531791168","-171.3163549884503","-171.3163549884503","-171.3163549884503","-173.56505177105385","-173.56505177105385","-173.56505177105385","-173.43388011994716","-173.43388011994716","-173.43388011994716","-173.3941999230771","-173.3941999230771","-173.3941999230771"
"54","-171.11953038136693","-171.11953038136693","-171.11953038136693","-171.33240242649345","-171.33240242649345","-171.33240242649345","-171.42461991542103","-171.42461991542103","-171.42461991542103","-173.59656367994552","-173.59656367994552","-173.59656367994552","-173.48094914669056","-173.48094914669056","-173.48094914669056","-173.4193357219972","-173.4193357219972","-173.4193357219972"
"55","-171.30108400634145","-171.30108400634145","-171.30108400634145","-171.40129108420354","-171.40129108420354","-171.40129108420354","-171.59564206759234","-171.59564206759234","-171.59564206759234","-173.63304719577883","-173.63304719577883","-173.63304719577883","-173.56282878537183","-173.56282878537183","-173.56282878537183","-173.5106239841811","-173.5106239841811","-173.5106239841811"
"56","-171.30785006973645","-171.30785006973645","-171.30785006973645","-171.579178095857","-171.579178095857","-171.579178095857","-171.5886317574557","-171.5886317574557","-171.5886317574557","-173.68948861070515","-173.68948861070515","-173.68948861070515","-173.63634238386234","-173.63634238386234","-173.63634238386234","-173.52579490386472","-173.52579490386472","-173.52579490386472"
"57","-171.48928424161613","-171.48928424161613","-171.48928424161613","-171.68483618109946","-171.68483618109946","-171.68483618109946","-171.62261513564454","-171.62261513564454","-171.62261513564454","-173.75475812042123","-173.75475812042123","-173.75475812042123","-173.72752689289936","-173.72752689289936","-173.72752689289936","-173.53412628397996","-173.53412628397996","-173.53412628397996"
"58","-171.5165806914248","-171.5165806914248","-171.5165806914248","-171.6966855708195","-171.6966855708195","-171.6966855708195","-171.66382419565863","-171.66382419565863","-171.66382419565863","-173.76669230213878","-173.76669230213878","-173.76669230213878","-173.79871251292946","-173.79871251292946","-173.79871251292946","-173.5559711299989","-173.5559711299989","-173.5559711299989"
"59","-171.60792631010685","-171.60792631010685","-171.60792631010685","-171.79529733058564","-171.79529733058564","-171.79529733058564","-171.73979719917745","-171.73979719917745","-171.73979719917745","-173.84385133061792","-173.84385133061792","-173.84385133061792","-173.83206851438234","-173.83206851438234","-173.83206851438234","-173.62105352841064","-173.62105352841064","-173.62105352841064"
"60","-171.6683227426324","-171.6683227426324","-171.6683227426324","-171.93081336713706","-171.93081336713706","-171.93081336713706","-171.86143577572798","-171.86143577572798","-171.86143577572798","-173.87561073475365","-173.87561073475365","-173.87561073475365","-173.8280067967566","-173.8280067967566","-173.8280067967566","-173.66347467500037","-173.66347467500037","-173.66347467500037"
"61","-171.76935243166812","-171.76935243166812","-171.76935243166812","-171.979355589691","-171.979355589691","-171.979355589691","-171.89413592756793","-171.89413592756793","-171.89413592756793","-173.90355668786657","-173.90355668786657","-173.90355668786657","-173.90470885138","-173.90470885138","-173.90470885138","-173.76789057188014","-173.76789057188014","-173.76789057188014"
"62","-171.8018410981199","-171.8018410981199","-171.8018410981199","-172.03102757198363","-172.03102757198363","-172.03102757198363","-171.9362549208298","-171.9362549208298","-171.9362549208298","-173.94909285108994","-173.94909285108994","-173.94909285108994","-173.94171031237346","-173.94171031237346","-173.94171031237346","-173.8198946184499","-173.8198946184499","-173.8198946184499"
"63","-171.87794468356537","-171.87794468356537","-171.87794468356537","-172.06250254378878","-172.06250254378878","-172.06250254378878","-171.86747590283102","-171.86747590283102","-171.86747590283102","-174.00372267430515","-174.00372267430515","-174.00372267430515","-173.94589964663442","-173.94589964663442","-173.94589964663442","-173.85433960065788","-173.85433960065788","-173.85433960065788"
"64","-171.90818601048522","-171.90818601048522","-171.90818601048522","-172.13257319029285","-172.13257319029285","-172.13257319029285","-172.0069423375916","-172.0069423375916","-172.0069423375916","-174.01187294234575","-174.01187294234575","-174.01187294234575","-174.01084363200525","-174.01084363200525","-174.01084363200525","-173.85804281513165","-173.85804281513165","-173.85804281513165"
"65","-171.9563568712815","-171.9563568712815","-171.9563568712815","-172.16275133841833","-172.16275133841833","-172.16275133841833","-172.0350957007796","-172.0350957007796","-172.0350957007796","-174.0805195141504","-174.0805195141504","-174.0805195141504","-174.05443583711397","-174.05443583711397","-174.05443583711397","-173.86426934910648","-173.86426934910648","-173.86426934910648"
"66","-172.0091351789805","-172.0091351789805","-172.0091351789805","-172.3210850506171","-172.3210850506171","-172.3210850506171","-172.12298414645116","-172.12298414645116","-172.12298414645116","-174.1091595074754","-174.1091595074754","-174.1091595074754","-174.08968206015152","-174.08968206015152","-174.08968206015152","-173.94557541418612","-173.94557541418612","-173.94557541418612"
"67","-172.02305104312703","-172.02305104312703","-172.02305104312703","-172.22742119027498","-172.22742119027498","-172.22742119027498","-172.0699061087709","-172.0699061087709","-172.0699061087709","-174.11850821024828","-174.11850821024828","-174.11850821024828","-174.12698510535955","-174.12698510535955","-174.12698510535955","-173.97711646260944","-173.97711646260944","-173.97711646260944"
"68","-172.09544154315708","-172.09544154315708","-172.09544154315708","-172.30923721077974","-172.30923721077974","-172.30923721077974","-172.12091593896372","-172.12091593896372","-172.12091593896372","-174.13132400146196","-174.13132400146196","-174.13132400146196","-174.16403406120943","-174.16403406120943","-174.16403406120943","-174.01602437946534","-174.01602437946534","-174.01602437946534"
"69","-172.1247548433369","-172.1247548433369","-172.1247548433369","-172.4026832665865","-172.4026832665865","-172.4026832665865","-172.29044386096677","-172.29044386096677","-172.29044386096677","-174.2206793197209","-174.2206793197209","-174.2206793197209","-174.1635384974271","-174.1635384974271","-174.1635384974271","-174.03221892893333","-174.03221892893333","-174.03221892893333"
"70","-172.14683215203053","-172.14683215203053","-172.14683215203053","-172.41776195804078","-172.41776195804078","-172.41776195804078","-172.22389318584445","-172.22389318584445","-172.22389318584445","-174.24582254555952","-174.24582254555952","-174.24582254555952","-174.18027661895945","-174.18027661895945","-174.18027661895945","-174.09013465022502","-174.09013465022502","-174.09013465022502"
"71","-172.20159116510828","-172.20159116510828","-172.20159116510828","-172.52459024123192","-172.52459024123192","-172.52459024123192","-172.2377910376703","-172.2377910376703","-172.2377910376703","-174.22749352845045","-174.22749352845045","-174.22749352845045","-174.23735416447488","-174.23735416447488","-174.23735416447488","-174.07767877007973","-174.07767877007973","-174.07767877007973"
"72","-172.08866073400463","-172.08866073400463","-172.08866073400463","-172.44874161293475","-172.44874161293475","-172.44874161293475","-172.2347598990259","-172.2347598990259","-172.2347598990259","-174.2434012754809","-174.2434012754809","-174.2434012754809","-174.2576156042478","-174.2576156042478","-174.2576156042478","-174.0736930523685","-174.0736930523685","-174.0736930523685"
"73","-172.1189325611755","-172.1189325611755","-172.1189325611755","-172.50770268500767","-172.50770268500767","-172.50770268500767","-172.28433917735356","-172.28433917735356","-172.28433917735356","-174.27680536971314","-174.27680536971314","-174.27680536971314","-174.27380607398743","-174.27380607398743","-174.27380607398743","-174.10386331530924","-174.10386331530924","-174.10386331530924"
"74","-172.21750153882306","-172.21750153882306","-172.21750153882306","-172.52413831670367","-172.52413831670367","-172.52413831670367","-172.34868581888225","-172.34868581888225","-172.34868581888225","-174.27527265537702","-174.27527265537702","-174.27527265537702","-174.30390866475528","-174.30390866475528","-174.30390866475528","-174.15473555808","-174.15473555808","-174.15473555808"
"75","-172.2815087291381","-172.2815087291381","-172.2815087291381","-172.51741892695458","-172.51741892695458","-172.51741892695458","-172.34407470519724","-172.34407470519724","-172.34407470519724","-174.2927977039579","-174.2927977039579","-174.2927977039579","-174.29628313588728","-174.29628313588728","-174.29628313588728","-174.16114358460948","-174.16114358460948","-174.16114358460948"
