"Step","geocnn-4-4-8-8-8-4 - energy","geocnn-4-4-8-8-8-4 - energy__MIN","geocnn-4-4-8-8-8-4 - energy__MAX","geocnn-8-8-8-4-4 - energy","geocnn-8-8-8-4-4 - energy__MIN","geocnn-8-8-8-4-4 - energy__MAX","geocnn-8-8-8 - energy","geocnn-8-8-8 - energy__MIN","geocnn-8-8-8 - energy__MAX","cnn-8_4-4-1 - energy","cnn-8_4-4-1 - energy__MIN","cnn-8_4-4-1 - energy__MAX","cnn-4-4_8-1 - energy","cnn-4-4_8-1 - energy__MIN","cnn-4-4_8-1 - energy__MAX","cnn-4-4_1 - energy","cnn-4-4_1 - energy__MIN","cnn-4-4_1 - energy__MAX","cnn-8-8-8_4-4-1 - energy","cnn-8-8-8_4-4-1 - energy__MIN","cnn-8-8-8_4-4-1 - energy__MAX","cnn-8-8_4-4-1 - energy","cnn-8-8_4-4-1 - energy__MIN","cnn-8-8_4-4-1 - energy__MAX","cnn-4-4_8-8-8-1 - energy","cnn-4-4_8-8-8-1 - energy__MIN","cnn-4-4_8-8-8-1 - energy__MAX","cnn-4-4_8-8-1 - energy","cnn-4-4_8-8-1 - energy__MIN","cnn-4-4_8-8-1 - energy__MAX"
"30","-14.21844234528401","-14.21844234528401","-14.21844234528401","-14.228423187067238","-14.228423187067238","-14.228423187067238","-14.24536519871014","-14.24536519871014","-14.24536519871014","-14.257383167648657","-14.257383167648657","-14.257383167648657","-14.266013451151135","-14.266013451151135","-14.266013451151135","-14.266004821465884","-14.266004821465884","-14.266004821465884","-14.258101653787332","-14.258101653787332","-14.258101653787332","-14.256689922881902","-14.256689922881902","-14.256689922881902","-14.262069111651794","-14.262069111651794","-14.262069111651794","-14.25972799748816","-14.25972799748816","-14.25972799748816"
"31","-14.23144156480838","-14.23144156480838","-14.23144156480838","-14.240663582286373","-14.240663582286373","-14.240663582286373","-14.246387575212868","-14.246387575212868","-14.246387575212868","-14.263037387109684","-14.263037387109684","-14.263037387109684","-14.270556014507335","-14.270556014507335","-14.270556014507335","-14.270725142409763","-14.270725142409763","-14.270725142409763","-14.262540927090969","-14.262540927090969","-14.262540927090969","-14.261961136052555","-14.261961136052555","-14.261961136052555","-14.26674912333695","-14.26674912333695","-14.26674912333695","-14.265477338052381","-14.265477338052381","-14.265477338052381"
"32","-14.23357616533518","-14.23357616533518","-14.23357616533518","-14.23703456714906","-14.23703456714906","-14.23703456714906","-14.248557014300818","-14.248557014300818","-14.248557014300818","-14.263517667092437","-14.263517667092437","-14.263517667092437","-14.269122335150048","-14.269122335150048","-14.269122335150048","-14.268433128925505","-14.268433128925505","-14.268433128925505","-14.263415600180728","-14.263415600180728","-14.263415600180728","-14.263015468943628","-14.263015468943628","-14.263015468943628","-14.265738294705134","-14.265738294705134","-14.265738294705134","-14.266406221988571","-14.266406221988571","-14.266406221988571"
"33","-14.233816390655834","-14.233816390655834","-14.233816390655834","-14.244803619493123","-14.244803619493123","-14.244803619493123","-14.252367023035692","-14.252367023035692","-14.252367023035692","-14.269105691455618","-14.269105691455618","-14.269105691455618","-14.272529172523365","-14.272529172523365","-14.272529172523365","-14.27246649285112","-14.27246649285112","-14.27246649285112","-14.268162979303396","-14.268162979303396","-14.268162979303396","-14.266355665048486","-14.266355665048486","-14.266355665048486","-14.269603596840117","-14.269603596840117","-14.269603596840117","-14.269870441569736","-14.269870441569736","-14.269870441569736"
"34","-14.248521334815461","-14.248521334815461","-14.248521334815461","-14.250689983015016","-14.250689983015016","-14.250689983015016","-14.257496038169554","-14.257496038169554","-14.257496038169554","-14.268757042811899","-14.268757042811899","-14.268757042811899","-14.273952182397613","-14.273952182397613","-14.273952182397613","-14.27445748747775","-14.27445748747775","-14.27445748747775","-14.271820898704592","-14.271820898704592","-14.271820898704592","-14.27070692063853","-14.27070692063853","-14.27070692063853","-14.27253447932106","-14.27253447932106","-14.27253447932106","-14.269613938818178","-14.269613938818178","-14.269613938818178"
"35","-14.243472234692693","-14.243472234692693","-14.243472234692693","-14.25811320705311","-14.25811320705311","-14.25811320705311","-14.258641225129184","-14.258641225129184","-14.258641225129184","-14.269662923752444","-14.269662923752444","-14.269662923752444","-14.274187121990149","-14.274187121990149","-14.274187121990149","-14.27409745958859","-14.27409745958859","-14.27409745958859","-14.270386856420124","-14.270386856420124","-14.270386856420124","-14.270110280972194","-14.270110280972194","-14.270110280972194","-14.272342576917973","-14.272342576917973","-14.272342576917973","-14.273454004297061","-14.273454004297061","-14.273454004297061"
"36","-14.247463661158825","-14.247463661158825","-14.247463661158825","-14.255773246186639","-14.255773246186639","-14.255773246186639","-14.259560743626011","-14.259560743626011","-14.259560743626011","-14.27202787947292","-14.27202787947292","-14.27202787947292","-14.274836310326002","-14.274836310326002","-14.274836310326002","-14.275027768004566","-14.275027768004566","-14.275027768004566","-14.27266353448614","-14.27266353448614","-14.27266353448614","-14.271086603918707","-14.271086603918707","-14.271086603918707","-14.273492939201482","-14.273492939201482","-14.273492939201482","-14.274364154995673","-14.274364154995673","-14.274364154995673"
"37","-14.25164216229043","-14.25164216229043","-14.25164216229043","-14.251882239971525","-14.251882239971525","-14.251882239971525","-14.259631630001318","-14.259631630001318","-14.259631630001318","-14.273279703241304","-14.273279703241304","-14.273279703241304","-14.275823644873192","-14.275823644873192","-14.275823644873192","-14.276072133791274","-14.276072133791274","-14.276072133791274","-14.273452494634945","-14.273452494634945","-14.273452494634945","-14.27275926818798","-14.27275926818798","-14.27275926818798","-14.274567970671292","-14.274567970671292","-14.274567970671292","-14.274966778427842","-14.274966778427842","-14.274966778427842"
"38","-14.255272891575569","-14.255272891575569","-14.255272891575569","-14.26120997344703","-14.26120997344703","-14.26120997344703","-14.261594749331634","-14.261594749331634","-14.261594749331634","-14.27481665873404","-14.27481665873404","-14.27481665873404","-14.276031481440189","-14.276031481440189","-14.276031481440189","-14.276302831479812","-14.276302831479812","-14.276302831479812","-14.274397936980588","-14.274397936980588","-14.274397936980588","-14.274875223027855","-14.274875223027855","-14.274875223027855","-14.275734575295056","-14.275734575295056","-14.275734575295056","-14.27506151277596","-14.27506151277596","-14.27506151277596"
"39","-14.256159185740149","-14.256159185740149","-14.256159185740149","-14.260656980205763","-14.260656980205763","-14.260656980205763","-14.2630387827034","-14.2630387827034","-14.2630387827034","-14.274837240355502","-14.274837240355502","-14.274837240355502","-14.277367025300416","-14.277367025300416","-14.277367025300416","-14.277252919238649","-14.277252919238649","-14.277252919238649","-14.274857948002303","-14.274857948002303","-14.274857948002303","-14.274718124888215","-14.274718124888215","-14.274718124888215","-14.275708111247301","-14.275708111247301","-14.275708111247301","-14.277516606755343","-14.277516606755343","-14.277516606755343"
